name,warehouse_name,parent_warehouse,is_group,company,disabled
"Section 5 - C2 - GSS","Section 5 - C2","Section 5 - GSS",0,"Global Spectrum SARL",0
"Section 5 - D1 - GSS","Section 5 - D1","Section 5 - GSS",0,"Global Spectrum SARL",0
"Section 5 - D2 - GSS","Section 5 - D2","Section 5 - GSS",0,"Global Spectrum SARL",0
"Section 5 - E1 - GSS","Section 5 - E1","Section 5 - GSS",0,"Global Spectrum SARL",0
"Section 5 - E2 - GSS","Section 5 - E2","Section 5 - GSS",0,"Global Spectrum SARL",0
"Central Rack - A1 - GSS","Central Rack - A1","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - A2 - GSS","Central Rack - A2","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - A3 - GSS","Central Rack - A3","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - A4 - GSS","Central Rack - A4","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - A5 - GSS","Central Rack - A5","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - B1 - GSS","Central Rack - B1","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - B2 - GSS","Central Rack - B2","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - B3 - GSS","Central Rack - B3","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - B4 - GSS","Central Rack - B4","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - B5 - GSS","Central Rack - B5","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - C1 - GSS","Central Rack - C1","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - C2 - GSS","Central Rack - C2","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - C3 - GSS","Central Rack - C3","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - C4 - GSS","Central Rack - C4","Central Rack - GSS",0,"Global Spectrum SARL",0
"Central Rack - C5 - GSS","Central Rack - C5","Central Rack - GSS",0,"Global Spectrum SARL",0
